축제ID	축제명	개최장소	축제시작일자	축제종료일자	축제내용	홈페이지주소	소재지도로명주소	소재지지번주소	위도	경도
575	충주 우륵문화제	탄금공원	2024-10-03	2024-10-07	문화행사+전통체험행사	www.cjart.or.kr/	충청북도 충주시 중앙로 128	충청북도 충주시 성내동 215	36.97061868	127.9372208
205	예산장터삼국축제	예산전통시장 일원	2024-10-01	2024-10-08	"예산의 국화, 국밥, 국수의 맛과 멋을 찾아 예산장터로 떠나는 가을여행축제"	https://yesansamguk.kr/	충청남도 예산군 예산읍 천변로 160	충청남도 예산군 예산읍 대회리 233-4	36.67611933	126.8479256
444	제19회 함양산삼축제	상림공원	2024-10-03	2024-10-09	황금산삼을찾아라+산삼캐기체험+심마니의 여정+심마니역사문화체험+산막페스티벌+산양삼및농특산물판매+밤소풍+달빛음악회+힐링산삼숲체험	https://www.sansamfestival.or.kr	경상남도 함양군 함양읍 대맛길 107-1	경상남도 함양군 함양읍 교산리 1043-6	35.527582	127.7209014
434	종로한복축제	광화문광장	2024-10-11	2024-10-12	한복을 중심으로 한 전통행사	https://jongnohanbok.kr/site/main/home	"서울특별시 종로구 새문안로3길 3, 6층"	서울특별시 종로구 신문로1가 58-15	37.57065619	126.9723943
520	제16회불교문화제전	성철공원	2024-10-12	2024-10-12	음악회+불교문화체험및전시	https://www.sancheong.go.kr/tour/contents.do?key=6329	주소 X	경상남도 산청군 단성면 묵곡리 949	35.277656	127.964971
877	제38회 정약용문화제	남양주시 정약용유적지 일원	2024-10-11	2024-10-12	정약용 선생의 정신을 기리는 역사문화축제	https://www.nyj.go.kr/thinkj/index.do	경기도 남양주시 조안면 다산로747번길 11	경기도 남양주시 조안면 능내리 95-3	37.51627419	127.2990576
932	광천김토굴새우젓 대축제	광천전통시장 일원	2024-10-12	2024-10-12	새우젓 시식 등 공연 및 행사	https://www.hongseong.go.kr/tour/index.do	충청남도 홍성군 광천읍 광천로315번길 19	충청남도 홍성군 광천읍 광천리 195-18	36.50171355	126.625266
941	홍성군 가족축제	홍주읍성	2024-10-12	2024-10-12	다양한 가족프로그램 체험 및 부스운영	https://hongseong.go.kr/kor/sub04_040601.do	충청남도 홍성군 홍성읍 아문길 27	충청남도 홍성군 홍성읍 오관리 98	36.60172104	126.6613892
1106	세종축제	세종호수공원	2024-10-09	2024-10-12	대형 수상극+버스킹+한글놀이터+시민 참여 프로그램 등	http://sjfestival.kr/	세종특별자치시 갈매로 387	세종특별자치시 어진동 593	36.4985206	127.2638359
1076	2024년 제6회 운정호수공원불꽃축제	운정호수공원	2024-09-21	2024-10-12	불꽃쇼+빛 조형물 전시+문화공연 등	홈페이지 정보 없음	경기도 파주시 경의로 1151	경기도 파주시 와동동 1412	37.720108	126.7601224
1283	종교연합바자회	서울특별시 강북구 한신대신학대학원	2024-10-12	2024-10-12	종교연합 바자회 기증물품 판매+문화공연 수익금전액 난치병어린이돕기 후원	www.gangbuk.go.kr	서울특별시 강북구 인수봉로 159	서울특별시 강북구 수유동 498-16	37.6350142	127.0129382
74	2024청도반시축제	청도야외공연장	2024-10-11	2024-10-13	청도반시전시판매행사 및 공연	http://www.청도반시축제.kr	경상북도 청도군 화양읍 청려로 1846	경상북도 청도군 화양읍 동천리 457	35.64838523	128.7186823
75	2024청도세계코미디아트페스티벌	청도야외공연장	2024-10-11	2024-10-13	코미디를 테마로 한 공연+전시+체험 등	http://www.청도코아페.kr	경상북도 청도군 화양읍 청려로 1846	경상북도 청도군 화양읍 동천리 457	35.64838523	128.7186823
27	영도다리축제	아미르공원+영도일원+영도다리축제유튜브채널	2024-10-12	2024-10-13	개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등	http://www.yeongdo.go.kr/ydfestival.web	부산광역시 영도구 해양로 301번길 55	부산광역시 영도구 동삼동 1165	35.07714964	129.0820078
524	2024 대전 서구 아트페스티벌	"샘머리,보라매공원(서구청앞) 및 서구 일원"	2024-10-11	2024-10-13	도심 속에서 펼쳐지는 빛과 문화예술의 항연	https://www.seogu.go.kr/prog/fstvl/tour/sub04_02/14/view.do	대전광역시 서구 둔산서로 100	대전광역시 서구 둔산동 1544	36.35505601	127.3833576
532	금산세계인삼축제	금산인삼관 광장 및 인삼약초시장 일원	2024-10-03	2024-10-13	"ㅇ인삼캐기 체험+미래로봇관+홍삼족욕 및 홍삼팩 마사지체험 등 건강 체험관 운영+국제인삼교역전+엄마 행복하세요 주제에 맞는 콘텐츠 구성 엄마건강UP,행복UP 등"	http://www.insamfestival.co.kr/	충청남도 금산군 금산읍 인삼광장로 30	충청남도 금산군 금산읍 신대리 392	36.1000256	127.5007304
818	황룡강 가을꽃축제	황룡강변 일원	2024-10-05	2024-10-13	공연+체험+판매행사 등	https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_04	주소 X	전라남도 장성군 장성읍 기산리 461-1	35.30951048	126.7815062
702	다문화축제	달서아트센터	2024-10-13	2024-10-13	다문화 어울림제	https://dalseo.familynet.or.kr/center	대구광역시 달서구 문화회관길 160	대구광역시 달서구 장기동 722-1	35.84342427	128.5228246
705	희망달서 대축제	달서아트센터	2024-10-12	2024-10-13	희망가득체험부스 + 다문화 어울림제 + 축하 콘서트 등	http://www.dscf.or.kr	대구광역시 달서구 문화회관길 160(장기동)	대구광역시 달서구 장기동 722-1	35.84342427	128.5228246
927	2024 고양호수예술축제	일산호수공원+일산문화광장	2024-10-11	2024-10-13	국내외 거리예술공연 및 시민참여프로그램	http://www.gylaf.kr	경기도 고양시 일산동구 호수로 595	경기도 고양시 일산동구 장항동 906	37.65384593	126.7687814
1077	2024 헤이리 판 페스티벌	헤이리예술마을 일대	2024-10-05	2024-10-13	공연+전시+체험프로그램+직거래장터 등	http://tour.paju.go.kr	경기도 파주시 탄현면 헤이리마을길 70-21	경기도 파주시 탄현면 법흥리 1652-239	37.78817463	126.6992404
