"MARKETID","MARKETNAME","MARKETTYPE","ROADADDRESS","JIBUNADDRESS","OPENINGPERIOD","LATITUDE","LONGITUDE","PUBLICTOILET","PARKINGAVAILABILITY"
31,"갈산전통시장","5일장","충청남도 홍성군 갈산면 상촌로 29","충청남도 홍성군 갈산면 상촌리 240-16","3일+8일",36.60369791,126.5505543,"Y","Y"
32,"감안시장","상설장","부산광역시 남구 홍곡로 17","부산광역시 남구 감만1동 171-9","매일",35.11634433,129.0821611,"Y","N"
33,"감전시장","상설장","부산광역시 사상구 새벽로168번길 21-6","부산광역시 사상구 감전동121-12","매일",35.1561407,128.984607,"Y","Y"
34,"감전제일상가시장","상설장","부산광역시 사상구 새벽로168번길 21-11","부산광역시 사상구 감전동 121-12","매일",35.15632532,128.9845484,"Y","N"
35,"감천2동시장","상설장","부산광역시 사하구 옥천로75번길 17","부산광역시 사하구 감천 2동 13-13","매일",35.09387881,129.0088484,"Y","N"
36,"감포시장","5일장","경상북도 경주시 감포로115","경상북도 경주시 감포리 436-1","3일+8일",35.80411024,129.5020144,"Y","Y"
37,"강경 젓갈시장","상설장","충청남도 논산시 강경읍 금백로 45","충청남도 논산시 강경읍 황산리 198","매일",36.15755625,127.0098063,"Y","N"
38,"강경대흥시장","5일장","충청남도 논산시 강경읍 대흥로 23- 1","충청남도 논산시 강경읍 대흥리 17-8","4일+9일",36.15597866,127.013675,"Y","Y"
39,"강곡전통시장","5일장","충청북도 음성군 감곡면 장감로 132번길 22","충청북도 음성군 감곡면 왕장리 525-8","3일+8일",37.11822939,127.6391738,"Y","Y"
40,"강구시장","5일장","경상북도 영덕군 강구면 강구시장1길","경상북도 영덕군 강구면 오포리 535","3일+8일",36.35802377,129.3805615,"Y","Y"
41,"강남시장","상설장","서울특별시 동작구 상도로 357 아파트 시장","서울특별시 동작구 상도동 488 강남상가아파트","매일",37.49693976,126.9535408,"Y","Y"
42,"강남시장","상설장","경기도 부천시 옥산로154번길 21","경기도 부천시 도당동 276-4","매일",37.50749709,126.7814664,"Y","Y"
43,"강남시장","상설장","서울특별시 강남구 압구정로 2길 46","서울특별시 강남구 신사동 510-11","매일",37.51876726,127.0206916,"Y","Y"
44,"강릉동부시장","상설장","강원특별자치도 강릉시 옥천로 48","강원특별자치도 강릉시 옥천동 223","매일",37.76006572,128.9006624,"Y","Y"
45,"강릉서부시장","상설장","강원특별자치도 강릉시 임영로 155번길 6","강원특별자치도 강릉시 용강동 29","매일",37.75509423,128.8907988,"Y","Y"
46,"강릉성남시장","상설장","강원특별자치도 강릉시 중앙시장1길 16","강원특별자치도 강릉시 성남동 54-10","매일",37.75345075,128.8992157,"Y","Y"
47,"강릉중앙시장","상설장","강원특별자치도 강릉시 금성로21","강원특별자치도 강릉시 성남동 50","매일",37.75402359,128.8986233,"Y","Y"
48,"강북북부시장(주)","상설장","서울특별시 강북구 한천로 123길 26","서울특별시 강북구 번동 413-3","매일",37.63623599,127.0303422,"Y","Y"
49,"강진시장","5일장","전라북도 임실군 강진면 호국로 14-12","전라북도 임실군 강진면 갈담리 515-4","2일+7일",35.52906902,127.161038,"Y","Y"
50,"강진읍시장","5일장","전라남도 강진군 강진읍 동성리 시장길 19","전라남도 강진군 강진읍 동성리 187-5","4일+9일",34.6403433,126.7741164,"Y","Y"
51,"강천시장","상설장","부산광역시 사하구 옥천로 8","부산광역시 사하구 감천 1동 471","매일",35.08826986,129.0055233,"Y","N"
52,"강화중앙시장","상설장","인천광역시 강화군 강화읍 강화대로 429 A동 430 B동","인천광역시 강화군 강화읍 신문리 205-5 A동 관청리 523-3 B동","매일",37.74685524,126.4838615,"Y","Y"
53,"강화터미널상가","상설장","인천광역시 강화군 남산리 중앙로 43","인천광역시 강화군 남산리 222번지","매일",37.73977668,126.4904067,"Y","Y"
54,"강화풍물시장","5일장","인천광역시 강화군 강화읍 중앙로 17-9","인천광역시 강화군 강화읍 갑곳리 849","2일+7일",37.74142155,126.4928692,"Y","Y"
55,"개금골목시장","상설장","부산광역시 부산진구 가야공원로 14번길 85","부산광역시 부산진구 개금동 173-2","매일",35.1518328,129.0247937,"Y","N"
56,"개금큰시장","상설장","부산광역시 부산진구 엄광로 15","부산광역시 부산진구 개금동 615-20","매일",35.14853427,129.0178858,"Y","N"
57,"개봉중앙시장","상설장","서울특별시 구로구 개봉로 17길 34","서울특별시 구로구 개봉동 324-1","매일",37.49178393,126.8540716,"Y","N"
58,"개봉프라자","상설장","서울특별시 구로구 고척로40길 19","서울특별시 구로구 고척동 269의1","매일",37.50195711,126.8511199,"Y","Y"
59,"거제고현시장","상설장","경상남도 거제시 중앙로 1883-2","경상남도 거제시 고현동 98-27","매일",34.88625809,128.6236545,"Y","Y"
60,"거제시장","상설장","부산광역시 연제구 거제시장로14번길28","부산광역시 연제구 거제동 486-1","매일",35.18193157,129.0727929,"Y","Y"
61,"거제읍내시장","5일장","경상남도 거제시 거제읍내로2길 28","경상남도 거제시 거제면 서상리 325-2번지","4일+9일",34.85055855,128.590311,"Y","N"
62,"거진전통시장","상설장+5일장","강원특별자치도 고성군 거진시장길 15","강원특별자치도 고성군 거진리 272","매일+6일",38.44783915,128.4539615,"Y","Y"
63,"거창시장","상설장+5일장","경상남도 거창군 거창읍 중앙로 140","경상남도 거창군 중앙리 154-12","매일+6일",35.68683071,127.9140377,"Y","Y"
64,"건천시장","5일장","경상북도 경주시 건천읍 내서로 1131-1","경상북도 경주시 건천읍 건천리 339-4","5일+10일",35.84830099,129.1048106,"Y","Y"
65,"결초보은시장","상설장+5일장","충청북도 보은군 보은읍 삼산로3길 12-1","충청북도 보은군 보은읍 삼산리 31-15","매일+6일",36.48292036,127.7193209,"Y","Y"
66,"경동광성상가","상설장","서울특별시 동대문구 고산자로 464","서울특별시 동대문구 제기동 917","매일",37.58099105,127.0388095,"Y","N"
67,"경동시장","상설장","서울특별시 동대문구 고산자로36길 3","서울특별시 동대문구 제기동 1036","매일",37.57903777,127.0391429,"Y","Y"
68,"경민인터빌상가","상설장","경상남도 창원시 마산회원구 양덕북12길 113","경상남도 창원시 마산 회원구 양덕북 12가-113","매일",35.23190306,128.5838191,"Y","Y"
69,"경산공설시장","5일장","경상북도 경산시 경안로31길 19","경상북도 경산시 서상동 10","5일+10일",35.82051858,128.7357579,"Y","Y"
70,"경안시장","5일장","경기도 광주시 경안로25번길 14-1","경기도 광주시 경안동 33-16","3일+8일",37.40885891,127.2570300252,"Y","Y"
71,"경주성동공설시장","상설장","경상북도 경주시 원화로 281번길 11-11","경상북도 경주시 성동동 51-1번지 일원","매일",35.84554647,129.2162805,"Y","Y"
72,"경주중심상가시장","상설장","경상북도 경주시 태종로 791번길16","경상북도 경주시 황오동 234-1","매일",35.84225824,129.2146805,"Y","Y"
73,"경주중앙시장","5일장","경상북도 경주시 금성로 295","경상북도 경주시 성건동 339-2","2일+7일",35.84396049,129.2067453,"Y","Y"
74,"경창상가","상설장","경상남도 창원시 성산구 상남로 67","경상남도 창원시 성산구 상남동 73-5","매일",35.22016512,128.6793262,"Y","Y"
75,"경창시장","상설장","서울특별시 양천구 오목로9길 31","서울특별시 양천구 신월동 447-8","매일",37.52493416,126.8421214,"Y","Y"
76,"경화시장","5일장","경상남도 창원시 진해구 경화로 38번길","경상남도 창원시 진해구 경화동 906","3일+8일",35.15705817,128.6903949,"Y","Y"
77,"계산시장","상설장","인천광역시 계양구 계산 시장길 10-18","인천광역시 계양구 계산 계산동 960-27","매일",37.5392795,126.7248527,"Y","Y"
78,"계양산전통시장","상설장","인천광역시 계양구 병방시장로69 2층","인천광역시 계양구 병방동 383","매일",37.54845862,126.7392428,"Y","Y"
79,"계천공설시장","5일장","경상남도 하동군 금남면 섬진강대로 977-17","경상남도 하동군 금남면 계천리 355-3","5일+10일",34.99598807,127.8094994,"Y","Y"
80,"고덕시장","5일장","충청남도 예산군 고덕면 용고길 342","충청남도 예산군 고덕면 대천리 783-3","3일+8일",36.7439262,126.7052143,"Y","Y"
81,"고려쇼핑센터","상설장","부산광역시 사상구 사상로 207","부산광역시 사상구 괘법동 535-11","매일",35.16361948,128.9841829,"Y","Y"
82,"고리울동굴시장","상설장","경기도 부천시 고리울로64번길 27","경기도 부천시 오정구 고강동 407","매일",37.52584383,126.8226996,"N","Y"
83,"고분다리전통시장","상설장","서울특별시 강동구 구천면로34길 13","서울특별시 강동구 천호동 393-32","매일",37.54248956,127.1319288,"Y","Y"
84,"고산미소시장","5일장","전라북도 완주군 고산면 남봉로 134","전라북도 완주군 고산면 읍내리 884-4","4일+9일",35.97407542,127.2054123,"Y","Y"
85,"고성공룡시장","상설장","경상남도 고성군 고성읍 성내로112번길 75-8","경상남도 고성군 고성읍 성내리 212-3","매일",34.97266192,128.3233799865,"Y","Y"
86,"고성시장","상설장+5일장","경상남도 고성군 고성읍 중앙로25번길57","경상남도 고성군 고성읍 서외리 1-6","매일+6일",34.97730013,128.3230484,"Y","Y"
87,"고성오일시장","5일장","제주특별자치도 서귀포시 성산읍 고성오조로 93","제주특별자치도 서귀포시 성산읍 고성리 1180-34","4일+9일",33.45186232,126.9128147,"Y","Y"
88,"고창 전통시장","5일장","전라북도 고창군 고창읍 동리로 62-11","전라북도 고창군 고창읍 읍내리 367","3일+8일",35.43266573,126.6987711,"Y","Y"
89,"고창전통시장","상설장+5일장","전라북도 고창군 고창읍 동리로 62-11","전라북도 고창군 고창읍 읍내리 367","매일,+3일,+8일",35.43266509,126.6987705,"Y","Y"
90,"고척골목시장","상설장","서울특별시 구로구 중앙로8길 10 고척동","서울특별시 구로구 고척동 51-10","매일",37.5033751,126.8627093,"N","N"
91,"고척근린시장","상설장","서울특별시 구로구 고척로 40길 19","서울특별시 구로구 고척동 269-1","매일",37.50195711,126.8511199,"Y","Y"
92,"고한구공탄시장","상설장+5일장","강원특별자치도 정선군 고한읍 고한 4길 38-6","강원특별자치도 정선군 고한읍 고한리 62-14","매일+6일",37.20132181,128.8540542,"Y","Y"
417,"르네시떼","상설장","부산광역시 사상구 광장로7","부산광역시 사상구 괘법동 529-1","매일",35.16433608,128.9777161,"Y","Y"
418,"마량 5일시장","5일장","전라남도 강진군 마량면 마량5길 11","전라남도 강진군 마량면 마량리 987-11","3일+8일",34.45095581,126.8165815,"Y","Y"
419,"마로관기시장(관기재래시장)","상설장+5일장","충청북도 보은군 마로면 관기3길 6-7","충청북도 보은군 마로면 관기리 377-1","매일+6일",36.43524313,127.8175961,"Y","Y"
420,"마산구암시장","상설장","경상남도 창원시 마산 회원구 구암남 14길 8","경상남도 창원시 마산 회원구 구암동 87","매일",35.24953898,128.5996435,"Y","Y"
421,"마산부림시장","상설장","경상남도 창원시 마산함포구 3 15대로 352","경상남도 창원시 마산합포구 부림동 32","매일",35.20578871,128.5734587,"Y","Y"
422,"마산수산시장","상설장","경상남도 창원시 마산합포구 수산2길 194","경상남도 창원시 마산합포구 남성동 229-1","매일",35.20181664,128.5789097,"Y","Y"
423,"마산어시장","상설장","경상남도 창원시 마산합포구 복요리로 7","경상남도 창원시 마산합포구 동성동 314","매일",35.20376172,128.578956,"Y","Y"
424,"마산역번개시장","상설장","경상남도 창원시 마산회원구 석전동 16길","경상남도 창원시 마산회원구 석전1동 43","매일",35.2359464,128.5783283,"Y","Y"
425,"마장축산물","상설장","서울특별시 성동구 마장로35길 68 4층","서울특별시 성동구 마장동 439-1 4층","매일",37.57068248,127.0412753,"Y","Y"
